(-47, 4.0, 7, 8)
(-50, 5.0, 7, 8)
(-50, 5.0, 7, 8)
(-69, 5.0, 7, 8)
(-55, 6.0, 7, 8)
(-58, 5.0, 7, 8)
(-63, 4.0, 7, 8)
(-58, 5.0, 7, 8)
(-53, 5.0, 7, 8)
(-62, 5.0, 7, 8)
(-66, 6.0, 7, 8)
(-79, 5.0, 7, 8)
(-72, 6.0, 7, 8)
(-62, 4.0, 7, 8)
(-72, 5.0, 7, 8)
(-64, 5.0, 7, 8)
(-65, 4.0, 7, 8)
(-71, 5.0, 7, 8)
(-63, 5.0, 7, 8)
(-71, 5.0, 7, 8)
(-69, 6.0, 7, 8)
(-65, 4.0, 7, 8)
(-63, 5.0, 7, 8)
(-61, 6.0, 7, 8)
(-58, 5.0, 7, 8)
(-76, 6.0, 7, 8)
(-65, 5.0, 7, 8)
(-70, 6.0, 7, 8)
(-62, 6.0, 7, 8)
(-62, 5.0, 7, 8)
(-58, 5.0, 7, 8)
(-57, 5.0, 7, 8)
(-58, 5.0, 7, 8)
(-62, 5.0, 7, 8)
(-49, 4.0, 7, 8)
(-61, 6.0, 7, 8)
(-57, 5.0, 7, 8)
(-58, 5.0, 7, 8)
(-57, 5.0, 7, 8)
(-54, 4.0, 7, 8)
(-49, 6.0, 7, 8)
(-47, 5.0, 7, 8)
(-52, 5.0, 7, 8)
(-53, 4.0, 7, 8)
(-45, 6.0, 7, 8)
(-49, 5.0, 7, 8)
(-53, 4.0, 7, 8)
(-55, 5.0, 7, 8)
(-47, 4.0, 7, 8)
(-60, 5.0, 7, 8)
(-51, 5.0, 7, 8)
(-66, 5.0, 7, 8)
(-61, 5.0, 7, 8)
(-60, 4.0, 7, 8)
(-68, 5.0, 7, 8)
(-62, 4.0, 7, 8)
(-77, 6.0, 7, 8)
(-72, 6.0, 7, 8)
(-66, 6.0, 7, 8)
(-67, 5.0, 7, 8)
(-69, 5.0, 7, 8)
(-69, 5.0, 7, 8)
(-72, 6.0, 7, 8)
(-65, 5.0, 7, 8)
(-78, 5.0, 7, 8)
(-75, 5.0, 7, 8)
(-70, 5.0, 7, 8)
(-66, 5.0, 7, 8)
(-71, 5.0, 7, 8)
(-69, 5.0, 7, 8)
(-67, 5.0, 7, 8)
(-64, 4.0, 7, 8)
(-69, 5.0, 7, 8)
(-66, 5.0, 7, 8)
(-75, 5.0, 7, 8)
(-71, 5.0, 7, 8)
(-67, 6.0, 7, 8)
(-63, 5.0, 7, 8)
(-67, 5.0, 7, 8)
(-60, 5.0, 7, 8)
(-77, 5.0, 7, 8)
(-72, 6.0, 7, 8)
(-79, 6.0, 7, 8)
(-76, 6.0, 7, 8)
(-77, 5.0, 7, 8)
(-76, 5.0, 7, 8)
(-96, 3.0, 7, 8)
(-75, 5.0, 7, 8)
(-81, 6.0, 7, 8)
(-76, 5.0, 7, 8)
(-78, 5.0, 7, 8)
(-78, 5.0, 7, 8)
(-75, 5.0, 7, 8)
(-78, 5.0, 7, 8)
(-78, 6.0, 7, 8)
(-84, 6.0, 7, 8)
(-81, 6.0, 7, 8)
(-81, 6.0, 7, 8)
(-77, 6.0, 7, 8)
(-82, 5.0, 7, 8)
(-68, 5.0, 7, 8)
(-77, 6.0, 7, 8)
(-68, 6.0, 7, 8)
(-69, 5.0, 7, 8)
(-69, 6.0, 7, 8)
(-72, 5.0, 7, 8)
(-69, 5.0, 7, 8)
(-71, 5.0, 7, 8)
(-69, 4.0, 7, 8)
(-71, 5.0, 7, 8)
(-69, 5.0, 7, 8)
(-67, 5.0, 7, 8)
(-67, 5.0, 7, 8)
(-67, 5.0, 7, 8)
(-72, 5.0, 7, 8)
(-71, 5.0, 7, 8)
(-74, 5.0, 7, 8)
(-77, 5.0, 7, 8)
(-77, 5.0, 7, 8)
(-75, 5.0, 7, 8)
(-67, 5.0, 7, 8)
(-75, 5.0, 7, 8)
(-77, 6.0, 7, 8)
(-76, 6.0, 7, 8)
(-66, 6.0, 7, 8)
(-74, 6.0, 7, 8)
(-68, 5.0, 7, 8)
(-77, 5.0, 7, 8)
(-69, 6.0, 7, 8)
(-75, 5.0, 7, 8)
(-59, 4.0, 7, 8)
(-60, 5.0, 7, 8)
(-55, 5.0, 7, 8)
(-62, 5.0, 7, 8)
(-72, 5.0, 7, 8)
(-71, 5.0, 7, 8)
(-69, 5.0, 7, 8)
(-69, 5.0, 7, 8)
(-65, 4.0, 7, 8)
(-64, 5.0, 7, 8)
(-67, 5.0, 7, 8)
(-62, 6.0, 7, 8)
(-66, 5.0, 7, 8)
(-68, 6.0, 7, 8)
(-69, 6.0, 7, 8)
(-75, 6.0, 7, 8)
(-72, 6.0, 7, 8)
(-89, 6.0, 7, 8)
(-78, 5.0, 7, 8)
(-79, 6.0, 7, 8)
(-83, 6.0, 7, 8)
(-88, 6.0, 7, 8)
(-74, 5.0, 7, 8)
(-76, 6.0, 7, 8)
(-66, 5.0, 7, 8)
(-66, 5.0, 7, 8)
(-74, 5.0, 7, 8)
(-61, 6.0, 7, 8)
(-59, 4.0, 7, 8)
(-54, 5.0, 7, 8)
(-57, 6.0, 7, 8)
(-53, 5.0, 7, 8)
(-51, 5.0, 7, 8)
(-51, 5.0, 7, 8)
