(-71, 5.0, 7, 8)
(-67, 6.0, 7, 8)
(-72, 5.0, 7, 8)
(-60, 5.0, 7, 8)
(-68, 6.0, 7, 8)
(-85, 5.0, 7, 8)
(-84, 5.0, 7, 8)
(-78, 5.0, 7, 8)
(-83, 5.0, 7, 8)
(-88, 5.0, 7, 8)
(-83, 6.0, 7, 8)
(-81, 5.0, 7, 8)
(-83, 5.0, 7, 8)
(-74, 5.0, 7, 8)
(-79, 6.0, 7, 8)
(-84, 5.0, 7, 8)
(-83, 5.0, 7, 8)
(-80, 4.0, 7, 8)
(-89, 6.0, 7, 8)
(-94, 4.0, 7, 8)
(-98, 5.0, 7, 8)
(-95, 5.0, 7, 8)
(-96, 5.0, 7, 8)
(-85, 5.0, 7, 8)
(-88, 4.0, 7, 8)
(-96, 5.0, 7, 8)
(-96, 5.0, 7, 8)
(-102, 4.0, 7, 8)
(-96, 5.0, 7, 8)
(-96, 4.0, 7, 8)
(-97, 5.0, 7, 8)
(-96, 5.0, 7, 8)
(-96, 5.0, 7, 8)
(-94, 5.0, 7, 8)
(-98, 5.0, 7, 8)
(-96, 5.0, 7, 8)
(-98, 4.0, 7, 8)
(-113, -1.0, 7, 8)
(-100, 5.0, 7, 8)
(-98, 4.0, 7, 8)
(-102, 4.0, 7, 8)
(-100, 3.0, 7, 8)
(-102, 5.0, 7, 8)
(-113, -1.0, 7, 8)
(-105, 3.0, 7, 8)
(-101, 3.0, 7, 8)
(-102, 5.0, 7, 8)
(-98, 3.0, 7, 8)
(-94, 5.0, 7, 8)
(-85, 5.0, 7, 8)
(-87, 5.0, 7, 8)
(-89, 5.0, 7, 8)
(-106, 2.0, 7, 8)
(-96, 5.0, 7, 8)
(-94, 5.0, 7, 8)
(-87, 4.0, 7, 8)
(-88, 5.0, 7, 8)
(-101, 4.0, 7, 8)
(-87, 5.0, 7, 8)
(-93, 4.0, 7, 8)
(-91, 5.0, 7, 8)
(-92, 5.0, 7, 8)
(-84, 5.0, 7, 8)
(-87, 5.0, 7, 8)
(-88, 5.0, 7, 8)
(-83, 5.0, 7, 8)
(-78, 5.0, 7, 8)
(-75, 5.0, 7, 8)
(-82, 5.0, 7, 8)
(-95, 5.0, 7, 8)
(-89, 5.0, 7, 8)
(-93, 5.0, 7, 8)
(-87, 6.0, 7, 8)
(-93, 4.0, 7, 8)
(-101, 5.0, 7, 8)
(-104, 5.0, 7, 8)
(-94, 5.0, 7, 8)
(-96, 5.0, 7, 8)
(-99, 5.0, 7, 8)
(-97, 4.0, 7, 8)
(-95, 4.0, 7, 8)
(-99, 3.0, 7, 8)
(-96, 5.0, 7, 8)
(-101, 4.0, 7, 8)
(-96, 5.0, 7, 8)
(-102, 3.0, 7, 8)
(-105, 3.0, 7, 8)
(-100, 4.0, 7, 8)
(-95, 5.0, 7, 8)
(-94, 5.0, 7, 8)
(-104, 5.0, 7, 8)
(-93, 5.0, 7, 8)
(-96, 5.0, 7, 8)
(-95, 5.0, 7, 8)
(-99, 5.0, 7, 8)
(-92, 5.0, 7, 8)
(-98, 4.0, 7, 8)
(-89, 6.0, 7, 8)
(-92, 5.0, 7, 8)
(-101, 5.0, 7, 8)
(-104, 3.0, 7, 8)
(-103, 3.0, 7, 8)
(-100, 4.0, 7, 8)
(-110, 1.0, 7, 8)
(-114, -2.0, 7, 8)
(-107, -1.0, 7, 8)
(-108, 1.0, 7, 8)
(-103, 1.0, 7, 8)
(-115, -3.0, 7, 8)
(-113, -1.0, 7, 8)
(-102, 5.0, 7, 8)
(-98, 5.0, 7, 8)
(-102, 4.0, 7, 8)
(-97, 5.0, 7, 8)
(-109, 2.0, 7, 8)
(-98, 4.0, 7, 8)
(-110, 1.0, 7, 8)
(-98, 3.0, 7, 8)
(-101, 5.0, 7, 8)
(-95, 5.0, 7, 8)
(-95, 5.0, 7, 8)
(-103, 3.0, 7, 8)
(-106, 3.0, 7, 8)
(-102, 4.0, 7, 8)
(-111, 0.0, 7, 8)
(-99, 5.0, 7, 8)
(-98, 5.0, 7, 8)
(-89, 5.0, 7, 8)
(-91, 5.0, 7, 8)
(-100, 5.0, 7, 8)
(-102, 4.0, 7, 8)
(-106, 3.0, 7, 8)
(-95, 5.0, 7, 8)
(-99, 4.0, 7, 8)
(-99, 5.0, 7, 8)
(-87, 6.0, 7, 8)
(-92, 6.0, 7, 8)
(-89, 5.0, 7, 8)
(-82, 5.0, 7, 8)
(-92, 5.0, 7, 8)
(-92, 4.0, 7, 8)
(-89, 6.0, 7, 8)
(-98, 4.0, 7, 8)
(-99, 5.0, 7, 8)
(-109, 1.0, 7, 8)
(-97, 5.0, 7, 8)
(-98, 6.0, 7, 8)
(-101, 5.0, 7, 8)
(-97, 5.0, 7, 8)
(-102, 5.0, 7, 8)
